Player,Kicks,Marks,Handballs,Goals,Behinds,Hitouts,Tackles,Rebound50s,Inside50s,Clearances,Clangers,FreeKicksFor,FreeKicksAgainst,BrownlowVotes,Contested,ContestedMarks  ,MarksInside50,1%  ,Bounces,GoalAssists,TOG,PositionDef,PositionInsideMid,PositionRuck,PositionFor,Win
"Murphy, Lachlan",8,2,5,0,2,0,2,0,3,3,2,1,1,0,6,0,0,0,1,1,64,0,0,0,1,0
"Nankervis, Luke",2,0,4,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,25,0,1,0,0,0
"Neal-Bullen, Alex",7,2,13,0,0,0,5,0,3,0,5,1,4,0,10,0,0,0,0,0,81,0,0,0,1,0
"OBrien, Reilly",3,1,2,0,0,35,2,0,1,1,3,1,2,0,1,0,0,2,0,0,81,0,0,1,0,0
"Peatling, James",18,4,6,1,0,0,6,2,10,4,3,4,0,0,11,0,0,0,0,1,86,0,1,0,0,0
"Rankine, Izak",8,2,13,0,0,0,7,2,4,10,7,0,5,2,18,0,0,1,0,0,82,0,1,0,0,0
"Sholl, Lachlan",4,2,9,0,0,0,1,0,0,1,0,0,0,0,6,0,0,1,0,0,84,0,0,0,0,0
"Soligo, Jake",15,2,11,0,0,0,6,6,3,8,4,1,2,0,17,0,0,1,0,1,86,0,1,0,0,0
"Thilthorpe, Riley",11,5,5,5,2,9,2,0,3,4,3,1,1,0,9,1,5,1,1,0,84,0,0,0,1,0
"Walker, Taylor",10,7,4,4,1,1,0,0,4,0,2,0,0,0,3,0,3,1,0,0,76,0,0,0,1,0
"Worrell, Josh",11,3,6,0,0,0,1,7,0,0,3,0,0,0,5,0,0,2,0,0,86,1,0,0,0,0
"Armstrong, Harry",7,6,4,2,1,0,2,0,3,0,2,1,0,0,3,1,3,0,0,0,81,0,0,0,1,0
"Banks, Sam",5,3,7,2,0,0,1,0,1,1,1,1,0,0,3,0,1,1,0,0,78,1,0,0,0,0
"Bauer, Jacob",2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,1,0
"Blight, Jacob",5,5,5,1,0,1,0,0,2,0,3,1,0,0,6,2,2,1,0,0,89,0,0,0,1,0
"Broad, Nathan",12,5,7,0,0,0,1,6,0,2,1,1,1,0,8,0,0,5,2,0,96,1,0,0,0,0
"Brown, Tom",8,4,4,0,0,0,1,5,0,0,1,0,1,0,4,1,0,6,0,0,76,1,0,0,0,0
"Campbell, Seth",6,1,9,2,0,0,1,0,2,1,2,0,1,0,4,0,1,2,0,1,74,0,0,0,1,0
"Dow, Thomson",5,4,16,0,1,0,5,2,3,5,7,1,1,0,6,0,1,0,0,0,71,0,1,0,0,0
"Green, Steely",10,4,4,2,0,0,0,1,2,1,3,1,1,0,5,0,1,2,2,1,78,0,0,0,1,0
"Hopper, Jacob",11,5,21,0,0,0,4,1,2,8,2,0,1,0,14,0,0,0,0,0,74,0,1,0,0,0
"Lalor, Sam",8,2,16,2,1,0,4,0,3,2,3,4,0,0,14,1,0,0,0,4,83,0,0,0,1,0
"Lynch, Tom",5,3,2,1,1,0,1,0,2,0,1,0,1,0,5,1,2,0,0,1,83,0,0,0,1,0
"McIntosh, Kamdyn",4,1,4,0,0,0,8,0,3,1,3,0,2,0,2,0,0,2,0,0,65,0,0,0,0,0
"Miller, Ben",8,9,2,0,0,0,4,2,0,0,0,0,0,0,2,1,0,6,0,0,93,1,0,0,0,0
"Nankervis, Toby",8,2,7,0,0,41,2,1,0,2,5,0,1,0,8,1,0,3,0,0,80,0,0,1,0,0
